name,address_line1,city,state,zip,website_url,weitz_cec_part,community_type,k12_level,mission_area,mission_type,community_partner
"Native Indian Centered Education Program (N.I.C.E.), Omaha Public Schools (OPS)",3215 Cuming Street,Omaha,NE,68131,https://district.ops.org/DEPARTMENTS/CurriculumandInstructionSupport/NativeIndianCenteredEducation/Mission.aspx,No,Nonprofit,N/A,Educational Support,Primary,"Native Indian Centered Education Program (N.I.C.E.), Omaha Public Schools (OPS)"
Nebraska 4-H,8015 W Center Rd,Omaha,NE,68124,https://extension.unl.edu/statewide/douglas-sarpy/douglas-sarpy-4-h/,No,Nonprofit,N/A,Educational Support,Primary,Nebraska 4-H
Nebraska AIDS Project,250 S 77th St,Omaha,NE,68114,hap.org,No,Nonprofit,N/A,Health and Wellness,Primary,Nebraska AIDS Project
Nebraska Appleseed,826 P St 3rd Fl,Lincoln,NE,68508,https://neappleseed.org/,No,Nonprofit,N/A,Social Justice,Primary,Nebraska Appleseed
Nebraska Civic Engagement Table,211 N 14th St,Lincoln,NE,68508,https://www.facebook.com/nebraskatable/,Yes,Nonprofit,N/A,Educational Support,Primary,Nebraska Civic Engagement Table
Nebraska Community Blood Bank,100 N. 84th Street,Lincoln,NE,68505,https://www.ncbb.org/,No,Nonprofit,N/A,Health and Wellness,Primary,Nebraska Community Blood Bank
Nebraska Correctional Youth Facility,2610 N 20th St E,Omaha,NE,68110,corrections.nebraska.gov/facilities/Nebraska-correctional-youth-facility,No,Nonprofit,N/A,Social Justice,Primary,Nebraska Correctional Youth Facility
Nebraska Cultural Endowment,"1004 Farnam Street, Plaza Level",Omaha,NE,68102,http://nebraskaculturalendowment.org/,No,Nonprofit,N/A,Educational Support,Primary,Nebraska Cultural Endowment
Nebraska Department of Health and Human Services,301 Centennial Mall S,Lincoln,NE,68508,,No,Nonprofit,N/A,Social Justice,Primary,Nebraska Department of Health and Human Services
Nebraska Families Collaborative,2110 Papillion Parkway,Omaha,NE,68164,,No,Nonprofit,N/A,Social Justice,Primary,Nebraska Families Collaborative
Nebraska Humane Society,8929 Fort Street,Omaha,NE,68134,http://www.nehumanesociety.org/,No,Nonprofit,N/A,Environmental Stewardship,Primary,Nebraska Humane Society
Nebraska Interfaith Power & Lights,2012 S. 13th St.,Lincoln,NE,68502,https://www.nebraskaipl.org/,No,Government Agency,N/A,Educational Support,Primary,Nebraska Interfaith Power & Lights
Nebraska Legislature,1445 K Street,Lincoln,NE,68508,http://www.nebraskalegislature.gov/,No,Nonprofit,N/A,Economic Sufficiency,Primary,Nebraska Legislature
Nebraska Lutheran Outdoor Ministry,27416 Ranch Rd,Ashland,NE,68003,https://www.nlom.org/about-us,No,Nonprofit,N/A,Educational Support,Primary,Nebraska Lutheran Outdoor Ministry
Nebraska Organ Recovery,8502 W Center Rd,Omaha,NE,68124,www.nedonation.org,No,Nonprofit,N/A,Health and Wellness,Primary,Nebraska Organ Recovery
Nebraska Shakespeare,2500 California Plaza - Creighton Univ- Dept. Of Fine Arts,Omaha,NE,68178,http://www.nebraskashakespeare.com/home,Yes,Nonprofit,N/A,Educational Support,Primary,Nebraska Shakespeare
Nebraska Urban Indian Health Coalition,2240 Landon Ct,Omaha,NE,68102,,No,Nonprofit,N/A,International Service,Primary,Nebraska Urban Indian Health Coalition
Nebraska Wildlife Federation,4547 Calvert St # 12,Lincoln,NE,68506,http://www.nebraskawildlife.org/,No,Nonprofit,N/A,Environmental Stewardship,Primary,Nebraska Wildlife Federation
Nebraska Writers Collective (NWC),9712 N 34th St,Omaha,NE,68112,http://newriters.org/,Yes,Nonprofit,N/A,Educational Support,Primary,Nebraska Writers Collective (NWC)
Nebraskans for Peace,"941 O St #1026,",Lincoln,NE,68508,http://nebraskansforpeace.org/,No,Nonprofit,N/A,Social Justice,Primary,Nebraskans for Peace
Nebraskans for Solar,5016 Parker St,Omaha,NE,68104,http://www.nebraskansforsolar.org/,No,Nonprofit,N/A,Environmental Stewardship,Primary,Nebraskans for Solar
Neighborhood Action & Fact Association,2448 Manderson Street,Omaha,NE,68111,,No,Nonprofit,N/A,Environmental Stewardship,Primary,Neighborhood Action & Fact Association
Nelson Mandela Elementary School,6316 N 30th St,Omaha,NE,68111,nelsonmandelaelementary.org,No,K-12,Primary,Educational Support,Primary,Nelson Mandela Elementary School
New Visions Homeless Services,321 16th Avenue,Council Bluffs,IA,51501,,No,Nonprofit,N/A,Economic Sufficiency,Primary,New Visions Homeless Services
No More Empty Cups,1502 S 10th Street #100,Omaha,NE,68108,,No,Nonprofit,N/A,Environmental Stewardship,Primary,No More Empty Cups
No More Empty Pots,8511 N 30th St,Omaha,NE,68112,nmepomaha.org,No,Nonprofit,N/A,Health and Wellness,Primary,No More Empty Pots
Nonprofit Association of the Midlands (NAM),"11205 Wright Circle, Ste. 210",Omaha,NE,68144,https://www.nonprofitam.org/default.aspx,Yes,Nonprofit,N/A,Educational Support,Primary,Nonprofit Association of the Midlands (NAM)
North Omaha Neighborhood Alliance (YBI Awards consult),3223 N 45th Street,Omaha,NE,68104,,No,Nonprofit,N/A,Economic Sufficiency,Primary,North Omaha Neighborhood Alliance (YBI Awards consult)
NorthStar Foundation,4242 N 49th Avenue,Omaha,NE,68104,,No,Nonprofit,N/A,Educational Support,Primary,NorthStar Foundation
Nothing but Net,3223 N 45th St,Omaha,NE,68104,nothingbutnet1.org,No,Nonprofit,N/A,Health and Wellness,Primary,Nothing but Net
Notre Dame Housing,3439 State Street,Omaha,NE,68112,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Notre Dame Housing
Ollie Webb Center,1941 S 42nd St #122,Omaha,NE,68105,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Ollie Webb Center
Omaha Area Youth Orchestra,1905 Harney St #630,Omaha,NE,68102,oayo.org,No,Nonprofit,N/A,Educational Support,Primary,Omaha Area Youth Orchestra
Omaha BioFuels Coop,"1127 N 20 St, Florence Blvd",Omaha,NE,68102,http://www.omahabiofuelscoop.org/,No,Nonprofit,N/A,Environmental Stewardship,Primary,Omaha BioFuels Coop
Omaha Burke High School,12200 Burke Blvd,Omaha,NE,68154,burke.ops.org,No,K-12,Secondary,Educational Support,Primary,Omaha Burke High School
Omaha By Design,618 S 11th St,Omaha,NE,68102,http://www.omahabydesign.org/,Yes,Nonprofit,N/A,Economic Sufficiency,Primary,Omaha By Design
Omaha Girls Rock,"6400 South, University Drive Road North",Omaha,NE,68182,https://www.omahagirlsrock.org/,Yes,Nonprofit,N/A,Educational Support,Primary,Omaha Girls Rock
Omaha Healthy Kids Alliance,5006 Underwood Ave,Omaha,NE,68132,omahahealthykids.org,No,Nonprofit,N/A,Health and Wellness,Primary,Omaha Healthy Kids Alliance
Omaha Home for Boys,4343 N 52nd St,Omaha,NE,68104,omahahomeforboys.org,No,Nonprofit,N/A,Social Justice,Primary,Omaha Home for Boys
Omaha Housing Authority,1805 Harney St,Omaha,NE,68102,ohauthority.org,No,Nonprofit,N/A,Economic Sufficiency,Primary,Omaha Housing Authority
Omaha North High School,4410 N 36th St,Omaha,NE,68111,,No,K-12,Secondary,Educational Support,Primary,Omaha North High School
Omaha Northwest Magnet High School,8204 Crown Point Ave,Omaha,NE,68134,https://northwest.ops.org,No,K-12,Secondary,Educational Support,Primary,Omaha Northwest Magnet High School
Omaha Performing Arts,1200 Douglas St,Omaha,NE,68102,omahaperformingarts.org,No,Nonprofit,N/A,Educational Support,Primary,Omaha Performing Arts
Omaha Police Department,505 S 15th St,Omaha,NE,68102,,No,Government Agency,N/A,Social Justice,Primary,Omaha Police Department
Omaha Public Library (OPL),215 S 15th St,Omaha,NE,68102,http://www.omahapubliclibrary.org/,Yes,Nonprofit,N/A,Educational Support,Primary,Omaha Public Library (OPL)
Omaha Stormwater,1399 Harney Street,Omaha,NE,68102,https://omahastormwater.org/,No,Nonprofit,N/A,Environmental Stewardship,Primary,Omaha Stormwater
Omaha Street School,3223 N 45th St,Omaha,NE,68104,omahastreetschool.org,No,K-12,Primary,Educational Support,Primary,Omaha Street School
Omaha Symphony,1905 Harney St #400,Omaha,NE,68102,www.omahasymphony.org,No,Nonprofit,N/A,Health and Wellness,Primary,Omaha Symphony
Omaha Together One Community (OTOC),3647 Lafayette Avenue,Omaha,NE,68131,http://otoc.org/,No,Nonprofit,N/A,Educational Support,Primary,Omaha Together One Community (OTOC)
ONE Omaha,"6400 South, University Drive Road North",Omaha,NE,68182,http://oneomaha.org/,Yes,Nonprofit,N/A,Educational Support,Primary,ONE Omaha
One World Omaha,4920 S 30th St,Omaha,NE,68107,oneworldomaha.org,No,Nonprofit,N/A,Health and Wellness,Primary,One World Omaha
Open Door Mission,2828 N 23rd St,Omaha,NE,68110,opendoormission.org,No,Nonprofit,N/A,Economic Sufficiency,Primary,Open Door Mission
Opera Omaha,1850 Farnam St,Omaha,NE,68102,operaomaha.org,No,Nonprofit,N/A,Educational Support,Primary,Opera Omaha
Operation Youth Success (OYS),"6400 South, University Drive Road North",Omaha,NE,68182,http://operationyouthsuccess.org/,Yes,Nonprofit,NA,Social Justice,Primary,Operation Youth Success (OYS)
Papillion Fire Department,146 N. Adams Street,Papillion,NE,68046,,No,Nonprofit,N/A,Health and Wellness,Primary,Papillion Fire Department
Papillion Lavista Community Schools,420 S Washington St,Papillion,NE,68046,plcschools.org,No,K-12,Primary,Educational Support,Primary,Papillion Lavista Community Schools
Papillion LaVista Early Childhood Programs,1211 N Monroe St,Papillion,NE,68046,plcschools.org/domain/734,No,K-12,Early Childhood,Educational Support,Primary,Papillion LaVista Early Childhood Programs
Papio-Missouri River NRD,8901 S 154th Street,Omaha,NE,68138,https://www.papionrd.org/,No,Nonprofit,N/A,Environmental Stewardship,Primary,Papio-Missouri River NRD
Partnership 4 Kids (P4K),1004 Farnam Street Suite 200,Omaha,NE,68102,http://p4k.org/,Yes,Nonprofit,N/A,Educational Support,Primary,Partnership 4 Kids (P4K)
Pathways to Compassion Hospice,287 North 115th Street,Lincoln,NE,68154,,No,Nonprofit,N/A,Health and Wellness,Primary,Pathways to Compassion Hospice
Pet Helpers Adoption Center,1447 Folly Rd,Charleston,SC,29412,,No,Nonprofit,N/A,Environmental Stewardship,Primary,Pet Helpers Adoption Center
Pilgram Baptist,2501 Baptist St,Omaha,NE,68131,pilgrambc.org,No,Nonprofit,N/A,International Service,Primary,Pilgram Baptist
Planned Parenthood of the Heartland,3105 N 93rd Street,Omaha,NE,68134,https://www.plannedparenthood.org/planned-parenthood-heartland,No,Nonprofit,N/A,Health and Wellness,Primary,Planned Parenthood of the Heartland
Project Hope,6201 N 60th Street,Omaha,NE,68104,http://www.projecthopeomaha.org/,No,Nonprofit,N/A,Economic Sufficiency,Primary,Project Hope
Purdue University,610 Purdue Mall,West Lafayette,IN,47907,http://www.purdue.edu/,No,Higher Education Institution,College,Educational Support,Primary,Purdue University
QLI,6404 70th Plaza,Omaha,NE,68104,qliomaha.org,No,Nonprofit,N/A,Economic Sufficiency,Primary,QLI
Ralston High School,8969 Park Drive,Ralston,NE,68127,,No,K-12,Secondary,Educational Support,Primary,Ralston High School
Refugee Empowerment Center,3610 Dodge St #100,Omaha,NE,68131,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Refugee Empowerment Center
Refugee Taskforce,5410 Corby Street,Omaha,NE,68104,http://bensonrefugeetf.com/,No,Nonprofit,N/A,Social Justice,Primary,Refugee Taskforce
Riverside County Department of Animal Services,6851 Van Buren Blvd,Jurupa Valley,CA,92509,,No,Nonprofit,N/A,Environmental Stewardship,Primary,Riverside County Department of Animal Services
Royale Oaks Assisted Living,4801 N 52nd St,Omaha,NE,68104,www.omahaseniorcare.org/royale-oaks-assisted-living,No,Nonprofit,N/A,Health and Wellness,Primary,Royale Oaks Assisted Living
Salvation Army,10755 Burt St,Omaha,NE,68114,https://centralusa.salvationarmy.org/omaha,No,Nonprofit,N/A,Economic Sufficiency,Primary,Salvation Army
Salvation Army Wellspring,3612 Cuming Street,Omaha,NE,68131,https://centralusa.salvationarmy.org/omaha/wellspring/,No,Nonprofit,N/A,Economic Sufficiency,Primary,Salvation Army Wellspring
Salvation Army: North Corps,2424 Pratt Street,Omaha,NE,68111,https://centralusa.salvationarmy.org/omaha,No,Nonprofit,N/A,Economic Sufficiency,Primary,Salvation Army: North Corps
Salvation Army: Omaha Kroc Center,2825 Y Street,Omaha,NE,68107,http://www.omahakroc.org/,No,Nonprofit,N/A,Economic Sufficiency,Primary,Salvation Army: Omaha Kroc Center
Sam and Frances Fried Holocaust and Genocide Education Fund,6001 Dodge Street,Omaha,NE,68182,https://holocausteducationfund.org/,No,Nonprofit,N/A,Educational Support,Primary,Sam and Frances Fried Holocaust and Genocide Education Fund
Santa Monica House (Restored Hope),1954 Jones Street,Omaha,NE,68102,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Santa Monica House (Restored Hope)
Sarpy County Head Start,701 Olson Dr #111,Papillion,NE,68046,sarpyheadstart.org,No,K-12,Primary,Educational Support,Primary,Sarpy County Head Start
Science Festival Alliance,265 Massachusetts Ave.,Cambridge,MA,2139,https://sciencefestivals.org/,No,Nonprofit,N/A,Educational Support,Primary,Science Festival Alliance
Scottish Rite,202 S 20th St,Omaha,NE,68102,scottishriteomaha.org,No,Nonprofit,N/A,Educational Support,Primary,Scottish Rite
SCS ENGINEERS,14755 Grover St,Omaha,NE,68144,https://www.scsengineers.com/,No,Nonprofit,N/A,Environmental Stewardship,Primary,SCS ENGINEERS
Siena Francis House,1702 Nicholas St,Omaha,NE,68102,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Siena Francis House
Sierra Club Nebraska Chapter,140 N 8th St,Lincoln,NE,68508,http://www.sierraclub.org/nebraska,No,Nonprofit,N/A,Environmental Stewardship,Primary,Sierra Club Nebraska Chapter
Social Media Research Foundation,Grand Street,Redwood City,CA,94061,https://www.smrfoundation.org/,No,Nonprofit,N/A,Educational Support,Primary,Social Media Research Foundation
Sound Health,6001 Dodge St,Omaha,NE,68182,,No,Nonprofit,N/A,Educational Support,Primary,Sound Health
South Omaha Boys and Girls Club,5051 S 22nd St,Omaha,NE,68107,bcgomaha.org,No,Nonprofit,N/A,Educational Support,Primary,South Omaha Boys and Girls Club
Spring Lake Park,4020 Hoctor Blvd,Omaha,NE,68107,,No,Nonprofit,N/A,Environmental Stewardship,Primary,Spring Lake Park
Springville Elementary,7400 N 60th St,Omaha,NE,68158,https://springville.ops.org,No,K-12,Primary,Educational Support,Primary,Springville Elementary
Start Center,6825 Pine St Suite 144,Omaha,NE,68106,startcenteromaha.org,No,Nonprofit,N/A,Economic Sufficiency,Primary,Start Center
Stephen Center,2723 Q Street,Omaha,NE,68107,,No,Nonprofit,N/A,Economic Sufficiency,Primary,Stephen Center
Suburban Rotary of Omaha,4089 S 84th St Pmb 317,Omaha,NE,68127,http://www.suburbanrotary.org/,No,Nonprofit,N/A,Educational Support,Primary,Suburban Rotary of Omaha
Sump Memorial Library,222 N Jefferson St,Papillion,NE,68046,www.papillion.org/158/Library,No,Nonprofit,N/A,Educational Support,Primary,Sump Memorial Library
Susan G. Komen Great Plains,8707 W Center Rd #101,Omaha,NE,68124,https://komengreatplains.org/,No,Nonprofit,N/A,Educational Support,Primary,Susan G. Komen Great Plains
Swope Corridor Renaissance: The Upper Room,2803 E. 51st St,Kansas City,MO,64130,,No,Nonprofit,N/A,Educational Support,Primary,Swope Corridor Renaissance: The Upper Room
The American Association of University Women (AAUW),"1310 L St. NW, Suite 1000",Washington,DC,20005,https://www.aauw.org/,No,Nonprofit,N/A,Social Justice,Primary,The American Association of University Women (AAUW)
The Big Garden,5602 Read St,Omaha,NE,68152,biggarden.org,No,Nonprofit,N/A,Health and Wellness,Primary,The Big Garden
"The ENDEAVOR Project, Communication Service for the Deaf, Inc. (CSD)","2028 E Ben White Blvd, #240-5250",Austin,TX,78741,http://www.projectendeavor.com/AboutUs.aspx,No,Nonprofit,N/A,Educational Support,Primary,"The ENDEAVOR Project, Communication Service for the Deaf, Inc. (CSD)"
The Hope Center,2200 N 20th St,Omaha,NE,68110,hopceenterforkids.org,No,Nonprofit,N/A,Social Justice,Primary,The Hope Center
The Indianapolis Museum of Art,4000 Michigan Rd,Indianapolis,IN,46208,https://discovernewfields.org/,No,Nonprofit,N/A,Educational Support,Primary,The Indianapolis Museum of Art
The Nature Conservancy in Nebraska,1007 Leavenworth Street,Omaha,NE,68102,https://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/nebraska/index.htm?src=r.v_nebraska.local.na.ne,No,Nonprofit,N/A,Environmental Stewardship,Primary,The Nature Conservancy in Nebraska
The Set Me Free Project,6505 N 159th Avenue Cir,Omaha,NE,68116,https://www.setmefreeproject.net/,No,Nonprofit,N/A,Social Justice,Primary,The Set Me Free Project
The Simple Foundation,3157 Farnam Street Ste. 7104,Omaha,NE,68131,https://www.thesimplefoundation.org/#homeheader,Yes,Nonprofit,,Educational Support,Primary,The Simple Foundation
Together a Greater Good (TAGG),17117 Oak Dr Suite A,Omaha,NE,68130,www.togetheragreatergood.com,No,Nonprofit,,Economic Sufficiency,Primary,Together a Greater Good (TAGG)
Together Inc,812 S 24th St,Omaha,NE,68108,,No,Nonprofit,,Social Justice,Primary,Together Inc
Tri-Faith Initiative,"6400 South, University Drive Road North",Omaha,NE,68182,https://trifaith.org/,Yes,Nonprofit,,Educational Support,Primary,Tri-Faith Initiative
Union for Contemporary Arts,2423 N 24th St,Omaha,NE,68110,http://www.u-ca.org/,No,Nonprofit,,Educational Support,Primary,Union for Contemporary Arts
United States Holocaust Memorial Museum,100 Raoul Wallenberg Pl SW,Washington,DC,20024,https://www.ushmm.org/research/competitive-academic-programs/faculty-seminars/vectors-of-violence,No,Nonprofit,,Educational Support,Primary,United States Holocaust Memorial Museum
"University of Bern, Switzerland","Hochschulstrasse 6, 3012",Bern,Switzerland,N/A,http://www.unibe.ch/index_ger.html,No,Higher Education Institution,,Educational Support,Primary,"University of Bern, Switzerland"
University of California Santa Cruz,1156 High St,Santa Cruz,CA,95064,https://www.ucsc.edu/,No,Higher Education Institution,,Educational Support,Primary,University of California Santa Cruz
University of Colorado Boulder,2000 Colorado Ave,Boulder,CO,80305,https://www.colorado.edu/,No,Higher Education Institution,,Educational Support,Primary,University of Colorado Boulder
University of Denver,1201 Larimer Street,Denver,CO,80204,http://www.ucdenver.edu/pages/ucdwelcomepage.aspx,No,Higher Education Institution,,Educational Support,Primary,University of Denver
University of Haifa,199 Aba Khoushy Ave.,Mount Carmel,Haifa,3498838,https://www.haifa.ac.il/index.php/en/home-eng,No,Higher Education Institution,,Educational Support,Primary,University of Haifa
University of Maine at Farmington,111 South Street,Farmington,ME,4938,http://www.umf.maine.edu/,No,Higher Education Institution,,Educational Support,Primary,University of Maine at Farmington
University of Maryland,4296 Stadium Drive,College Park,MD,20742,https://www.umd.edu/,No,Higher Education Institution,,Educational Support,Primary,University of Maryland
University of Nebraska Medical Center (UNMC),42nd and Emile,Omaha,NE,68198,https://www.unmc.edu/index.html,No,Higher Education Institution,,Educational Support,Primary,University of Nebraska Medical Center (UNMC)
University of Washington,1410 NE Campus Parkway,Seattle,WA,98105,http://www.washington.edu,No,Higher Education Institution,,Educational Support,Primary,University of Washington
University of Waterloo,200 University Avenue West,Waterloo,Ontario,N2L 3G1,https://uwaterloo.ca/,No,Higher Education Institution,,Educational Support,Primary,University of Waterloo
UNL Nebraska Extension,211 Agricultural Hall,Lincoln,NE,68583,https://extension.unl.edu/,Yes,Higher Education Institution,,Educational Support,Primary,UNL Nebraska Extension
Upstream Weeds,3942 N. 66th Street,Omaha,NE,68104,http://chris0350.wixsite.com/upstream-weeds,No,Nonprofit,,Environmental Stewardship,Primary,Upstream Weeds
Upward Bound,5612 Corby Street,Omaha,NE,68104,,No,Nonprofit,,Educational Support,Primary,Upward Bound
Upward Bound Math & Science,5612 Corby Street,Omaha,NE,68104,,No,Nonprofit,,Educational Support,Primary,Upward Bound Math & Science
Urban Abbey,1026 Jackson St,Omaha,NE,68102,,No,Nonprofit,,Social Justice,Primary,Urban Abbey
Urban Bird and Nature Alliance,627 S 67th Ave,Omaha,NE,68106,http://www.theurbanbirdandnaturealliance.com/,Yes,Nonprofit,,Environmental Stewardship,Primary,Urban Bird and Nature Alliance
Urban League of Nebraska,3040 Lake St,Omaha,NE,68111,http://www.urbanleagueneb.org/,Yes,Nonprofit,,Social Justice,Primary,Urban League of Nebraska
Verdis Group,950 S. 10th St. #010,Omaha,NE,68108,http://verdisgroup.com/,No,Business,,Environmental Stewardship,Primary,Verdis Group
Veterans of Foreign Wars 247,3302 Leavenworth Street,Omaha,NE,68105,,No,Nonprofit,,International Service,Primary,Veterans of Foreign Wars 247
Veterans of Foreign Wars 2503,8904 Military Rd,Omaha,NE,68134,,No,Nonprofit,,International Service,Primary,Veterans of Foreign Wars 2503
VFW 10727,9501 S. 25th Street,Bellevue,NE,68147,,No,Nonprofit,,Economic Sufficiency,Primary,VFW 10727
Victory Riding Academy,15506 S 69th Street,Papillion,NE,68133,,No,Nonprofit,,Health and Wellness,Primary,Victory Riding Academy
Voices for Children in Nebraska,7521 Main St Ste. 103,Omaha,NE,68127,http://voicesforchildren.com/,No,Nonprofit,,Social Justice,Primary,Voices for Children in Nebraska
Washington Elementary,5519 Mayberry St,Omaha,NE,68106,washington.ops.org,No,K-12,,Educational Support,Primary,Washington Elementary
WELLCOM,6001 Dodge St,Omaha,NE,68182,,Yes,Nonprofit,,Health and Wellness,Primary,WELLCOM
Wells Fargo Foundation-Nebraska Region,10010 Regency Circle,Omaha,NE,68114,https://www.wellsfargo.com/about/corporate-responsibility/environment/,No,Nonprofit,,Educational Support,Primary,Wells Fargo Foundation-Nebraska Region
Western Carolina University,1 University Way,Cullowhee,NC,28723,https://www.wcu.edu/,No,Higher Education Institution,,Educational Support,Primary,Western Carolina University
Westside Boys and Girls Club,1414 Robertson Dr.,Omaha,NE,68114,https://bgcomaha.org/,No,K-12,,Educational Support,Primary,Westside Boys and Girls Club
Westside School District,909 S 76th St,Omaha,NE,68114,westside66.org,No,Nonprofit,,Educational Support,Primary,Westside School District
WhyArts? Inc.,1030 S 111th Plz,Omaha,NE,68154,http://www.whyartsinc.org/,Yes,Nonprofit,,Educational Support,Primary,WhyArts? Inc.
Wichita State University (WSU) Environmental Finance Center,1845 Fairmount Street,Wichita,KS,67260,http://www.wichita.edu/thisis/home/?u=EFC,No,Higher Education Institution,,Economic Sufficiency,Primary,Wichita State University (WSU) Environmental Finance Center
Women's Center for Advancement (WCA),222 S 29th St,Omaha,NE,68131,wcaomaha.org,No,Nonprofit,,Social Justice,Primary,Women's Center for Advancement (WCA)
Womens Fund of Greater Omaha,1111 N 13th St Ste 106,Omaha,NE,68102,http://www.omahawomensfund.org/,No,Nonprofit,,Educational Support,Primary,Womens Fund of Greater Omaha
Wragge's Adaptive Swimming Lessons,14439 Weir Circle,Omaha,NE,68137,www.mpsomaha.org,No,Nonprofit,,Health and Wellness,Primary,Wragge's Adaptive Swimming Lessons
Yates Community Center,3260 Davenport Street,Omaha,NE,68131,,No,Nonprofit,,International Service,Primary,Yates Community Center
"Yates Educational Community Partnership (ECP), Omaha Public Schools",3260 Davenport Street,Omaha,NE,68131,https://district.ops.org/DEPARTMENTS/CurriculumandInstructionSupport/ESL/ESLPrograms/YatesCommunityCenter.aspx,No,K-12,,Educational Support,Primary,"Yates Educational Community Partnership (ECP), Omaha Public Schools"
YMCA Association,7502 Maple Street,Omaha,NE,68134,,No,Nonprofit,,Health and Wellness,Primary,YMCA Association
YMCA: Ames,3501 Ames Avenue,Omaha,NE,68111,,No,Nonprofit,,Health and Wellness,Primary,YMCA: Ames
Youth Emergency Services (YES),2679 Farnam St Ste 205,Omaha,NE,68131,http://www.yesomaha.org/,No,Nonprofit,,Social Justice,Primary,Youth Emergency Services (YES)
