project_name,engagement_type,activity_type,facilitator,description,academic_year,semester,end_semester,total_uno_students,total_uno_hours,total_k12_students,total_k12_hours,total_other_community_members,total_uno_faculty,total_economic_impact,other_details,outcomes,campus_partner,community_partner,mission,mission_type,status,address_line1,city,state,zip
Collaborative Service Supervisor: 2016-17 (003),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2016-17,Fall 2016,Spring 2017,1,20,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),No More Empty Pots,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Service Supervisor: 2016-17 (005),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2016-17,Fall 2016,Spring 2017,1,20,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),WhyArts? Inc.,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Service Supervisor: 2017-18 (006),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Fall 2017,1,28,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),Catholic Charities - Phoenix House,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Service Supervisor: 2017-18 (007),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Fall 2017,1,51,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),ONE Omaha,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Service Supervisor: 2017-18 (009),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Spring 2018,1,241,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),QLI,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Service Supervisor: 2017-18 (011),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Spring 2018,1,239,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),The Hope Center,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Collaborative Service Supervisor: 2017-18 (012),Community-Based Learning,Unpaid Services,Office of Civic and Social Responsibility (CSR),N/A,2017-18,Fall 2017,Spring 2018,1,129,0,0,0,0,0,N/A,written/video testimonials,Office of Civic and Social Responsibility (CSR),WhyArts? Inc.,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Culture Fest: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),"Culture Fest is an annual event held at the CEC. 2018 marks the eighth year of the project. South High and Beveridge Middle School come together with cultural groups from across the city to showcase the variety of cultures that are present in our community. The event consists of performances, information booths, activities ,and food.",2017-18,Spring 2018,Spring 2018,35,2,168,2,0,0,0,N/A,N/A,Service Learning Academy (SLA),Beveridge Magnet Middle School,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Dr. Sheryl Burgstahler - Universal Design for Learning: 2016-17 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Sheryl Burgstahler, Ph.D., is an expert on universal design and inclusive learning environments. Burgstahler is an affiliate professor in Education and the director of Accessible Technology Services at the University of Washington in Seattle. She is the author of Universal Design in Higher Education: From Principles to Practice. She is a popular speaker on how universal and related proactive design strategies can promote an inclusive culture by making learning activities, technology, physical spaces and student services at postsecondary institutions welcoming and accessible to everyone. ",2016-17,Spring 2017,Spring 2017,0,0,0,0,50,0,0,N/A,N/A,"Digital Learning, Office of",University of Washington,Educational Support,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Early Childhood Assessment: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),"Sites include Head Start and Early Childhood Intervention classrooms students will meet with teacher and determine which students would benefit from play, pre-academic concepts, social or behavioral interventions. Then, students develop an individualized problem-solving plan for one or more of the children collaboratively with the early childhood teacher. Regular site visits are necessary.",2017-18,Fall 2017,Fall 2017,7,30,0,0,0,0,0,N/A,N/A,"Psychology, Department of",Sarpy County Head Start,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Extended Evaluation: 2016-17 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Fall 2016,Fall 2016,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Avenue Scholars Foundation,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Family Finding Statewide Evaluation: 2017-18 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2017-18,Spring 2018,Summer 2018,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Nebraska Department of Health and Human Services,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Feedback Writing Workshop: 2016-17 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"This interactive reading series asks the question: What happens when writers pull back the curtain on their creative process and invite the audience to become part of the conversation? Feedback is an ongoing series that aims to enliven the conversation about the writing process. Part reading, part conversation, the goal of this reading series is to provide working writers with a space to read and discuss their work, to invigorate the audience by inviting them into the writer’s process and creative development, and, through our free writing workshops, to provide adults and young adults in our community an opportunity to generate their own work. ADDITIONAL COMMUNITY PARTNERS: Kaneko",2016-17,Fall 2016,Fall 2016,0,0,0,0,51,0,0,N/A,N/A,Barbara Weitz Community Engagement Center (CEC),Nebraska Writers Collective (NWC),Educational Support,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Foster Grandparents: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,1,20,0,0,0,0,0,N/A,N/A,"Psychology, Department of",Foster Grandparents Program,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Fundamentals of World Regional Geography: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),"Honors only Intro to Gerontology: GERO-2000  18 students – interview elders: Social Science data collection- interview, walk-about and phenomenological observation;  creation of a brief life story; include exploration and analysis of the context (neighborhood) and how it has been shaped by them and shaped them; assess for livability.",2017-18,Fall 2017,Fall 2017,18,20,0,0,0,0,0,N/A,N/A,"Gerontology, Department of",ONE Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Gerontology: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Fall 2016,Fall 2016,16,20,0,0,0,0,0,N/A,N/A,"Gerontology, Department of",Lutheran Family Services,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Global Youth Service Day: 2016-17 (001),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Canvassed to promote upcoming neighborhood events,2016-17,Spring 2017,Spring 2017,7,20,1,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Abide Network,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Global Youth Service Day: 2016-17 (003),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Assisted with educational activities for over 150 troop members,2016-17,Spring 2017,Spring 2017,22,20,1,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Girl Scouts Spirit of Nebraska,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Global Youth Service Day: 2017-18 (001),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Canvassing for neighborhood association membership. We will be breaking into 4 quadrants and putting information in the door handles at each home.,2017-18,Spring 2018,Spring 2018,8,29,0,0,7,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Aksarben-Elmwood Neighborhood Association,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Global Youth Service Day: 2017-18 (002),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Forrest Stewardship Project. Understanding the need for manually restoring the native upland dry-mesic oak forest habitat / ecosystem in the condition of anthropogenic suppressed fire occurrences AND the biodiversity threats caused by introduced & invasive plant species. This short talk will then lead to actually manually restoring the native forest.,2017-18,Spring 2018,Spring 2018,26,96,2,11,3,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Eastern Nebraska 4-H Camp,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Head Start Needs Assessment: 2016-17 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Fall 2016,Fall 2016,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Community Action Partnership of Lancaster and Saunders Counties,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Heron Haven Analysis: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Spring 2017,Spring 2017,4,20,0,0,0,0,0,N/A,N/A,"Chemistry, Department of",Heron Haven,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
History of Women: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Spring 2017,Spring 2017,16,20,0,0,0,0,0,N/A,N/A,"History, Department of",Durham Museum,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Honors Colloquium: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),Students researched various buildings around Omaha to submit to the City of Omaha so that the buildings can be designated historic. They learned about the history of North Omaha through this project.,2017-18,Fall 2017,Fall 2017,18,18,0,0,0,0,0,N/A,N/A,Honors Program,City of Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Honors Comp: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Fall 2016,Fall 2016,16,20,0,0,0,0,0,N/A,N/A,"English, Department of",Lutheran Family Services,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Honors Composition: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),"Honors only Intro to Gerontology: GERO-2000  18 students – interview elders: Social Science data collection- interview, walk-about and phenomenological observation;  creation of a brief life story; include exploration and analysis of the context (neighborhood) and how it has been shaped by them and shaped them; assess for livability.",2017-18,Fall 2017,Fall 2017,18,20,0,0,0,0,0,N/A,N/A,"English, Department of",ONE Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
"How to Get a Job in Sustainability: Building a Leadership Career in Business, NGOs and Government: 2016-17 (001)",Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"In this one-hour talk, Dr. Goodstein will outline different sustainability career directions, evaluate the impact of President Trump on sustainability jobs, discuss grad school and continuing education options (including school now / school later), and provide listeners with a tailored, concrete job search strategy. The webinar includes twenty minutes of Q&A to address individual career questions.  ",2016-17,Spring 2017,Spring 2017,0,0,0,0,170,0,0,N/A,N/A,"Sustainability, Office of",Bard College,Environmental Stewardship,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Humane Society : 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,8,20,0,0,0,0,0,N/A,N/A,"Psychology, Department of",Nebraska Humane Society,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Intake Process Efficiency & Effectiveness Evaluation: 2016-17 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Spring 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Legal Aid of Nebraska,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Intergenerational Poetry Contest: 2016-17 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),Each year the Poetry to Bridge Generations Contest awards prizes to local youth and elders and hosts a Winners Celebration and Poetry Slam to hear readings of the winning poems and provide an opportunity for face-to-face dialogue about poetry and poems. ADDITIONAL COMMUNITY PARTNERS: Omaha Public Schools; Nebraska Writers Collective. ADDITIONAL CAMPUS PARTNERS: Sigma Phi Omega Poetry-UNO; UNO Advanced Placement Program.,2016-17,Spring 2017,Spring 2017,0,0,0,0,55,0,0,N/A,N/A,"Gerontology, Department of",Omaha Public Library (OPL),Environmental Stewardship,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Introduction to Gerontology: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),"Honors only Intro to Gerontology: GERO-2000  18 students – interview elders: Social Science data collection- interview, walk-about and phenomenological observation;  creation of a brief life story; include exploration and analysis of the context (neighborhood) and how it has been shaped by them and shaped them; assess for livability.",2017-18,Fall 2017,Fall 2017,18,20,0,0,0,0,0,N/A,N/A,"Gerontology, Department of",ONE Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Introduction to World Religions: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),Holocaust center - writing transcripts of a documentary of one of the survivors,2017-18,Fall 2017,Fall 2017,14,10,0,0,0,0,0,N/A,N/A,"Religious Studies, Department of",Siena Francis House,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Lunch and Learn: 2016-17 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Charles Drew, a nonprofit health care provider, will present information about their programs at the April Feed Your Brain. Charles Drew reaches a large cross-section of our community, and are interested in expanding their collaborations. ",2016-17,Spring 2017,Spring 2017,0,0,0,0,20,0,0,N/A,N/A,"Religious Studies, Department of",Charles Drew Health Center,Health and Wellness,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Lunch and Learn: 2016-17 (002),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),Information and tips for health in the work place.,2016-17,Spring 2017,Spring 2017,0,0,0,0,15,0,0,N/A,N/A,Barbara Weitz Community Engagement Center (CEC),WELLCOM,Health and Wellness,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Lunch and Learn: 2016-17 (003),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),A presentation that discussed how to increase civic engagement as well as how to access civic engagement and neighborhood resources. ADDITIONAL COMMUNITY PARTNER: ONE Omaha,2016-17,Spring 2017,Spring 2017,0,0,0,0,20,0,0,N/A,N/A,Barbara Weitz Community Engagement Center (CEC),Civic Nebraska,Educational Support,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Lunch and Learn: 2016-17 (004),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),A workshop to help organizations and their employees with identity reflection.,2016-17,Fall 2016,Fall 2016,0,0,0,0,15,0,0,N/A,N/A,Barbara Weitz Community Engagement Center (CEC),Inclusive Communities (IC),Social Justice,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Lunch and Learn: 2016-17 (005),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),An opportunity to learn about the Omaha Public Library and the resources that they have available that are free to those who have a library card. Also meet the new Executive Director of the organization and hear her vision for the library.,2016-17,Fall 2016,Fall 2016,0,0,0,0,10,0,0,N/A,N/A,Barbara Weitz Community Engagement Center (CEC),Omaha Public Library (OPL),Educational Support,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Lunch and Learn: 2017-18 (001),Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),A building partner workshop to help organizations better understand implicit bias and how individuals can be affected by biases.,2017-18,Fall 2017,Fall 2017,6,20,0,0,4,4,0,N/A,N/A,Barbara Weitz Community Engagement Center (CEC),Inclusive Communities (IC),Educational Support,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Malcolm X Foundation : 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Spring 2017,Spring 2017,10,20,0,0,0,0,0,N/A,N/A,Thompson Learning Community,Malcolm X Memorial Foundation,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Minority Health Initiative Data Analysis: 2017-18 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2017-18,Fall 2017,Summer 2018,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Nebraska Department of Health and Human Services,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service : 2017-18 (001),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will assist with assembling packets of information and other organization tasks.,2017-18,Spring 2018,Spring 2018,2,5,0,0,2,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Catholic Charities - Phoenix House,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (002),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be preparing and cooking baked goods to be distributed in the community.,2017-18,Spring 2018,Spring 2018,5,22,0,0,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Chabad-Lubavitch of Nebraska Inc.,International Service,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (003),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be making ""You are Pure Potential"" picture frames for all the program participants. Voluteers will also be making thank you art for our volunteers. They will do some general cleaning at the building and getting items ready for future programming.",2017-18,Spring 2018,Spring 2018,14,63,2,11,4,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Girls Inc,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be assisting in the ReStore by rearranging, cleaning, and organizing inventory.",2017-18,Spring 2018,Spring 2018,14,72,0,0,0,0,0,N/A,pre-post surveys,Fraternity & Sorority Life,Habitat for Humanity: Council Bluffs,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (005),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be creating materials for conservation education and hygiene for children and students in Madagascar.,2017-18,Spring 2018,Spring 2018,0,0,0,0,32,0,0,MCC Students,pre-post surveys,Office of Civic and Social Responsibility (CSR),Heartland Family Services,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (006),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Students will be helping to organize books and may require some heavy lifting to place books on shelves. We will also have students organize files by checking our database (AIMS) and filing in alphabetical order,2017-18,Spring 2018,Spring 2018,1,20,0,0,14,0,0,Brownell Talbot Staff,pre-post surveys,Office of Civic and Social Responsibility (CSR),Literacy Center of the Midlands,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (007),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be working at the Thrift Store to organize and sort donations.,2017-18,Spring 2018,Spring 2018,9,38,4,22,5,0,0,3 MCC Students,pre-post surveys,Office of Civic and Social Responsibility (CSR),New Visions Homeless Services,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (008),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be sorting and taking inventory of a large amount of donated books (approx. 8000).,2017-18,Spring 2018,Spring 2018,1,20,0,0,18,0,0,Brownell Talbot Staff,pre-post surveys,Office of Civic and Social Responsibility (CSR),NorthStar Foundation,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (009),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Omaha Street School does not have regular janitorial service, and we rely on volunteers to help us clean the building. Volunteers will help clean bathrooms, mop floors, clean windows and empty garbage cans.",2017-18,Spring 2018,Spring 2018,11,55,0,0,0,0,0,N/A,pre-post surveys,Fraternity & Sorority Life,Omaha Street School,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (010),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will sort and organize donations and assemble program documents.,2017-18,Spring 2018,Spring 2018,1,20,0,0,18,0,0,Brownell Talbot Staff,pre-post surveys,Office of Civic and Social Responsibility (CSR),Refugee Empowerment Center,International Service,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (011),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will assist with a deep clean of the organization.,2017-18,Spring 2018,Spring 2018,2,6,0,0,7,0,0,Brownell Talbot Staff,pre-post surveys,Office of Civic and Social Responsibility (CSR),Santa Monica House (Restored Hope),Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (012),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Voluteers will assist with the Thrift Store operations by organizing donations and cleaning the store.,2017-18,Spring 2018,Spring 2018,1,20,0,0,2,0,0,Bank of the West Staff,pre-post surveys,Office of Civic and Social Responsibility (CSR),Stephen Center,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (013),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be organzing the storage rooms.,2017-18,Spring 2018,Spring 2018,3,11,0,0,0,0,0,N/A,pre-post surveys,Theta Chi,YMCA: Ames,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
MLK Day of Service: 2017-18 (014),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Assistance with day to day operations at our Street Outreach Center. Facility clean up, sorting and organizing donations.",2017-18,Spring 2018,Spring 2018,2,6,0,0,7,0,0,Brownell Talbot Staff,pre-post surveys,Office of Civic and Social Responsibility (CSR),Youth Emergency Services (YES),Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Moshe Gershovich Memorial Lecture: 2017-18 (001),Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),"The Schwalb Center for Israel & Jewish Studies in conjunction with UNO International Programs is pleased to host Dr. William Lawrence as the keynote for the 2017 International Education Week. Dr. Lawrence is currently a Visiting Professor at the Elliot School of International Affairs at the George Washington University. He was a former State Department Senior Advisor for Global Engagement, International Crisis Group North Africa Director, and Control Risks Associate Director for Middle East and North Africa (MENA). Dr. Lawrence was also a friend of the late Dr. Moshe Gershovich. His presentation will focus on MENA region.",2017-18,Fall 2017,Fall 2017,0,0,0,0,37,0,0,N/A,N/A,Natan and Hannah Schwalb Center for Israel and Jewish Studies (Schwalb Center),George Washington University,Educational Support,Primary,Completed,"6400 South, University Drive Road North",Omaha,NE,68182
Nebraska Adoption Project Evaluation: 2016-17 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Fall 2016,Spring 2017,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Nebraska Families Collaborative,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Needs Assessment: 2016-17 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Fall 2016,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Community Action of Nebraska,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Needs Assessment: 2016-17 (002),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Spring 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Eastern Nebraska Community Action Partnership,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
NW Teaching Garden: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Spring 2017,Spring 2017,6,9,12,7,0,0,0,"Students from Professor Steve Rodie’s?Landscape Design Lab?course and Ms. Rachael Burn’s Omaha Northwest’s (ONW) Advanced Horticulture and Landscaping students will jointly present designs for an expanding teaching garden to be installed at ONW. This P-16 service learning project highlights environmental sustainability and STEAM concepts (Science, Technology, Engineering, Art, and Math). ",N/A,"Biology, Department of",Omaha Northwest Magnet High School,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
NW Teaching Garden: 2016-17 (002),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Fall 2016,Fall 2016,39,8,14,6,0,0,0,"Students from Professor Steve Rodie’s?Landscape Appreciation and Environmental Sustainability?course and Ms. Rachael Burn’s Omaha Northwest’s (ONW) Advanced Horticulture and Landscaping students will jointly present designs for an expanding teaching garden to be installed at ONW. This P-16 service learning project highlights environmental sustainability and STEAM concepts (Science, Technology, Engineering, Art, and Math). ",N/A,"Biology, Department of",Omaha Northwest Magnet High School,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Omaha Table Talk: Black Lives Matter: 2016-17 (001),Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),Black Lives Matter sheds light on the issues surrounding the discussion of race in relation to the Black Lives Matter Movement.,2016-17,Fall 2016,Fall 2016,0,0,0,0,100,0,0,N/A,N/A,Barbara Weitz Community Engagement Center (CEC),Inclusive Communities (IC),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
"Omaha Table Talk: Race Dialogue Series - Race , Gender, and Orientation: 2016-17 (001)",Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),"Community dialogue during lunch that explores how race, gender, and sexual orientation intersect for unique experiences. ADDITIONAL COMMUNITY PARTNERS: JFON",2016-17,Fall 2016,Fall 2016,0,0,0,0,85,0,0,N/A,N/A,Office of Latino/Latin American Studies (OLLAS),Inclusive Communities (IC),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Omaha Table Talk: Race Dialogue Series - Race and Class: 2016-17 (001),Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),"Community dialogue during lunch that explores how race and class intersect for unique experiences in the Omaha Metro. ADDITIONAL COMMUNITY PARTNERS: Creighton Trio, JFON, Voices for Children",2016-17,Fall 2016,Fall 2016,0,0,0,0,72,0,0,N/A,N/A,Office of Latino/Latin American Studies (OLLAS),Inclusive Communities (IC),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
People and Issues in History: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),"As part of the course, there will be an emphasis on the lived experiences of women in the Omaha and a project that provides students training in public history and museum studies. This research project will culminate with an exhibit in the Durham Museum",2017-18,Fall 2017,Fall 2017,8,15,0,0,0,0,0,N/A,N/A,"History, Department of",Durham Museum,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Personnel and Volunteer Management in Nonprofits: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),"Students will help to develop materials such as volunteer manuals, volunteer recruitment plans, board orientations, employee handbooks, etc.",2017-18,Spring 2018,Spring 2018,25,20,0,0,0,0,0,N/A,N/A,"Public Administration, School of",Nebraska Writers Collective (NWC),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Prevention Means Progress Evaluation: 2016-17 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Fall 2016,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Heartland Family Services,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
